ID,duration,wav,wav_format,wav_opts
noise-free-sound-0423_0,12.25,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0423.wav,wav,
noise-free-sound-0424_1,16.666125,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0424.wav,wav,
noise-free-sound-0001_2,40.5365,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0001.wav,wav,
noise-free-sound-0002_3,71.2175,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0002.wav,wav,
noise-free-sound-0003_4,14.2358125,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0003.wav,wav,
noise-free-sound-0004_5,2.9865,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0004.wav,wav,
noise-free-sound-0005_6,21.1853125,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0005.wav,wav,
noise-free-sound-0006_7,7.7701875,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0006.wav,wav,
noise-free-sound-0007_8,16.613875,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0007.wav,wav,
noise-free-sound-0008_9,20.8050625,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0008.wav,wav,
noise-free-sound-0009_10,8.3866875,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0009.wav,wav,
noise-free-sound-0010_11,8.2415625,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0010.wav,wav,
noise-free-sound-0011_12,34.8501875,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0011.wav,wav,
noise-free-sound-0012_13,32.15625,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0012.wav,wav,
noise-free-sound-0013_14,1.5445,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0013.wav,wav,
noise-free-sound-0014_15,3.4159375,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0014.wav,wav,
noise-free-sound-0015_16,91.244875,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0015.wav,wav,
noise-free-sound-0016_17,4.0,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0016.wav,wav,
noise-free-sound-0017_18,7.8773125,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0017.wav,wav,
noise-free-sound-0018_19,14.5763125,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0018.wav,wav,
noise-free-sound-0019_20,11.55775,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0019.wav,wav,
noise-free-sound-0020_21,60.18575,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0020.wav,wav,
noise-free-sound-0021_22,18.0453125,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0021.wav,wav,
noise-free-sound-0022_23,24.832,/u/home/s/spaceman/project-voicesafe/spapl/vijay/speechbrain/cough_audio/icbi//noise/pointsource_noises/noise-free-sound-0022.wav,wav,
